rep	name	mode	real	user	sys	attempts	hits	fallback	parsed_samples
4	large_two_string_float_2048s	plan	2.6	2.33	0.19	12000	0	12000	0
5	ccdg_10k	baseline	2.93	2.64	0.2	0	0	0	0
5	ccdg_10k	plan	2.58	2.33	0.18	10000	9861	139	31574922
5	1000g_chr22_full_genotypes	baseline	27.69	25.89	1.14	0	0	0	0
5	1000g_chr22_full_genotypes	plan	11.68	10.53	0.87	1103547	1103547	0	2763281688
5	large_ccdg_likelihood_2048s	baseline	4.56	4.16	0.24	0	0	0	0
5	large_ccdg_likelihood_2048s	plan	4.08	3.78	0.21	20000	20000	0	40960000
5	large_reordered_likelihood_2048s	baseline	3.23	3.01	0.15	0	0	0	0
5	large_reordered_likelihood_2048s	plan	2.77	2.54	0.14	20000	20000	0	40960000
5	large_multiallelic_likelihood_2048s	baseline	3.5	3.24	0.17	0	0	0	0
5	large_multiallelic_likelihood_2048s	plan	3.13	2.85	0.16	16000	16000	0	32768000
5	large_float_string_2048s	baseline	3.56	3.08	0.25	0	0	0	0
5	large_float_string_2048s	plan	3.43	3.06	0.24	16000	0	16000	0
5	large_phase_width_variation_2048s	baseline	2.99	2.68	0.22	0	0	0	0
5	large_phase_width_variation_2048s	plan	2.86	2.54	0.22	12000	12000	0	24576000
5	large_mixed_likelihood_2048s	baseline	2.4	2.23	0.11	0	0	0	0
5	large_mixed_likelihood_2048s	plan	2.11	1.95	0.11	12000	12000	0	24576000
5	large_gt_first_reordered_2048s	baseline	1.92	1.77	0.09	0	0	0	0
5	large_gt_first_reordered_2048s	plan	1.6	1.49	0.08	12000	12000	0	24576000
5	large_two_string_float_2048s	baseline	2.63	2.36	0.19	0	0	0	0
5	large_two_string_float_2048s	plan	2.6	2.34	0.19	12000	0	12000	0
