name	command	threads	rep	comparison	status
1000g_chr22_full_genotypes	query_gt_keep2	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_all	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_all	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_all	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_all	0	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_all	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	stats	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	stats	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	stats	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	stats	0	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	stats	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	0	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	2	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	2	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	2	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	2	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	2	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	4	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	4	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	4	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	4	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt_keep2	4	5	baseline_vs_plan	ok
